archivo,carpeta,estado,palabras,tiene_yaml,tipo_nota,tipo_valido,campos_ok_count,campos_faltantes_count,campos_faltantes,campos_alias,problemas
F-CAF.md,.,ERROR,0,False,,False,0,8,tipo_nota | nombre | territorio | dimension_tgi | tags | fecha | estado | fuente_canonica,,"Nota vacía o casi vacía | Faltan 8 campos: tipo_nota, nombre, territorio, dimension_tgi, tags, fecha, estado, fuente_canonica"
GADM Montecristi.md,.,ERROR,0,False,,False,0,8,tipo_nota | nombre | territorio | dimension_tgi | tags | fecha | estado | fuente_canonica,,"Nota vacía o casi vacía | Faltan 8 campos: tipo_nota, nombre, territorio, dimension_tgi, tags, fecha, estado, fuente_canonica"
Leonidas Proaño.md,.,ERROR,0,False,,False,0,8,tipo_nota | nombre | territorio | dimension_tgi | tags | fecha | estado | fuente_canonica,,"Nota vacía o casi vacía | Faltan 8 campos: tipo_nota, nombre, territorio, dimension_tgi, tags, fecha, estado, fuente_canonica"
LOTAIP-Transparencia-Informacion-Publica.md,.,ERROR,0,False,,False,0,8,tipo_nota | nombre | territorio | dimension_tgi | tags | fecha | estado | fuente_canonica,,"Nota vacía o casi vacía | Faltan 8 campos: tipo_nota, nombre, territorio, dimension_tgi, tags, fecha, estado, fuente_canonica"
PDyOT-Bicentenario-Montecristi.md,.,ERROR,135,True,redirect,False,4,4,territorio | dimension_tgi | estado | fuente_canonica,tipo→tipo_nota | name→nombre,"tipo_nota desconocido: 'redirect' | Faltan 4 campos: territorio, dimension_tgi, estado, fuente_canonica | Aliases no canónicos: tipo→tipo_nota, name→nombre"
Plan Nacional de Desarrollo.md,.,ERROR,0,False,,False,0,8,tipo_nota | nombre | territorio | dimension_tgi | tags | fecha | estado | fuente_canonica,,"Nota vacía o casi vacía | Faltan 8 campos: tipo_nota, nombre, territorio, dimension_tgi, tags, fecha, estado, fuente_canonica"
Presupuesto General del Estado.md,.,ERROR,0,False,,False,0,8,tipo_nota | nombre | territorio | dimension_tgi | tags | fecha | estado | fuente_canonica,,"Nota vacía o casi vacía | Faltan 8 campos: tipo_nota, nombre, territorio, dimension_tgi, tags, fecha, estado, fuente_canonica"
PUGS.md,.,ERROR,0,False,,False,0,8,tipo_nota | nombre | territorio | dimension_tgi | tags | fecha | estado | fuente_canonica,,"Nota vacía o casi vacía | Faltan 8 campos: tipo_nota, nombre, territorio, dimension_tgi, tags, fecha, estado, fuente_canonica"
Sistema Nacional Descentralizado de Planificación Participativa.md,.,ERROR,0,False,,False,0,8,tipo_nota | nombre | territorio | dimension_tgi | tags | fecha | estado | fuente_canonica,,"Nota vacía o casi vacía | Faltan 8 campos: tipo_nota, nombre, territorio, dimension_tgi, tags, fecha, estado, fuente_canonica"
{{Nombre del programa}}.md,.,ERROR,0,False,,False,0,8,tipo_nota | nombre | territorio | dimension_tgi | tags | fecha | estado | fuente_canonica,,"Nota vacía o casi vacía | Faltan 8 campos: tipo_nota, nombre, territorio, dimension_tgi, tags, fecha, estado, fuente_canonica"
